s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.6653427,43128.5109613,2.8594281,-0.0911608,9.8081139,-5.1910739
0.7860855,89656.4211802,43127.7637564,2.7832602,-0.0972139,9.2642786,-1.1713363
1.6602338,89656.0835498,43126.9574433,2.6939112,-0.1091572,9.1370904,-0.3877113
2.5966476,89655.6383863,43126.1336106,2.5870874,-0.1223008,9.0945994,-0.3877113
3.5624880,89655.0836647,43125.3429579,2.4678312,-0.1265260,9.0519090,0.7791217
4.5413091,89654.4273514,43124.6167737,2.3475141,-0.1202116,9.1374949,0.5228389
5.5252826,89653.6862018,43123.9695479,2.2360163,-0.1069522,9.1944816,2.0276300
6.5090237,89652.8813351,43123.4039189,2.1391644,-0.0900232,9.4122198,3.9057897
7.4908619,89652.0312716,43122.9125959,2.0593891,-0.0722403,9.8180449,4.8481531
8.4729630,89651.1482792,43122.4826577,1.9953484,-0.0580162,10.2995660,4.8027450
9.4576974,89650.2397746,43122.1027612,1.9409493,-0.0523753,10.7553420,4.7577623
10.4468445,89649.3086994,43121.7688287,1.8868971,-0.0567644,11.1885578,-3.7026709
11.4424558,89648.3541000,43121.4860182,1.8248998,-0.0678158,10.8529052,-1.8281422
12.4426067,89647.3781291,43121.2674258,1.7506685,-0.0810039,10.6832933,-1.7710401
13.4414411,89646.3889773,43121.1286853,1.6640138,-0.0927762,10.5163708,-1.8122499
14.4356430,89645.3958671,43121.0821072,1.5676478,-0.1009800,10.3427760,-0.4967831
15.4258309,89644.4070889,43121.1349254,1.4656822,-0.1046800,10.2946781,-0.4967831
16.4140644,89643.4310043,43121.2894061,1.3629462,-0.1028949,10.2463544,-0.2127418
17.4027308,89642.4752409,43121.5423442,1.2651984,-0.0945334,10.2255905,1.1258149
18.3942668,89641.5446192,43121.8845238,1.1777348,-0.0817667,10.3349979,2.4303287
19.3898897,89640.6411363,43122.3028342,1.1034209,-0.0676032,10.5673176,3.9820148
20.3886286,89639.7651567,43122.7825624,1.0431184,-0.0533727,10.9373045,4.7392595
21.3868691,89638.9164015,43123.3080132,0.9964196,-0.0401303,11.3619586,4.6948714
22.3856923,89638.0888962,43123.8673725,0.9621736,-0.0285586,11.7675352,4.6508990
23.3811448,89637.2803913,43124.4481009,0.9292130,-0.0381197,12.1559782,4.6073384
24.3620841,89636.5057924,43125.0499634,0.8837017,-0.0540314,12.5289141,4.5641858
25.3442487,89635.7632648,43125.6928476,0.8333371,-0.0485615,12.8877208,4.5214374
26.3268589,89635.0519204,43126.3707207,0.7881677,-0.0434371,13.2335782,4.4790894
27.3084066,89634.3708710,43127.0775500,0.7570045,-0.0201969,13.5675061,4.4371380
28.2808972,89633.7100556,43127.7910351,0.7470922,0.0000000,13.8903934,4.3955796
29.2771982,89633.0330608,43128.5219891,0.7470922,0.0000000,14.2030207,4.3544103
30.2909681,89632.3441958,43129.2657594,0.7470922,0.0000000,14.5060783,4.0388825
31.2910453,89631.6646350,43129.9994839,0.7470922,-0.0000000,14.7816225,2.6500026
32.2858158,89630.9886802,43130.7293150,0.7470922,-0.0000000,14.9596561,-1.0392877
33.2619909,89630.3253611,43131.4455033,0.7470922,-0.0000000,14.8900879,-1.0392877
34.2633390,89629.6449368,43132.1801602,0.7470922,0.0000001,14.8201932,-0.5278977
35.2478001,89628.9759873,43132.9024276,0.7470923,-0.0000000,14.7845642,1.2132361
36.2232799,89628.3131407,43133.6181057,0.7470922,-0.0000000,14.8663208,3.5565045
37.2039571,89627.6467624,43134.3375970,0.7470922,-0.0000001,15.1034339,4.2307170
38.1923636,89626.9751320,43135.0627591,0.7327372,-0.0289900,15.3807371,4.1910918
39.1826727,89626.3233222,43135.8083166,0.6902708,-0.0567335,15.6505993,4.1518378
40.1745118,89625.7135059,43136.5905372,0.6347310,-0.0553269,15.9134223,4.1129515
41.1664647,89625.1474540,43137.4051265,0.5803328,-0.0544264,16.1695721,4.0744294
42.1569290,89624.6269375,43138.2477902,0.5412742,-0.0241381,16.4193832,4.0362681
43.1562455,89624.1223361,43139.1103509,0.5335658,0.0084956,16.6631623,3.9984642
44.1557613,89623.6103272,43139.9687672,0.5431025,0.0105956,16.9011915,3.9610143
45.1546308,89623.0895959,43140.8211634,0.5545335,0.0122588,17.1337311,3.9239153
46.1556573,89622.5573082,43141.6689392,0.5660775,0.0108485,17.3610219,3.8871637
47.1551377,89622.0166888,43142.5095888,0.5756072,0.0082238,17.5832872,3.8507563
48.1522153,89621.4705025,43143.3437616,0.5825736,0.0057002,17.8007346,3.8146899
49.1544918,89620.9166990,43144.1791417,0.5874545,0.0040772,18.0135574,3.7789613
50.1547432,89620.3606156,43145.0105707,0.5909055,0.0028288,18.2219362,3.7435674
51.1500261,89619.8049616,43145.8363047,0.5930019,0.0013616,18.4260400,-12.0496172
52.1513217,89619.2448221,43146.6662665,0.5929277,-0.0015052,17.7607070,-11.9050608
53.1502918,89618.6872307,43147.4951411,0.5896783,-0.0050112,17.0779190,-10.9617331
54.1463808,89618.1353858,43148.3243941,0.5831634,-0.0080875,16.4241521,-10.9608532
55.1384992,89617.5923989,43149.1547338,0.5749511,-0.0084008,15.7433157,-11.0731913
56.1346600,89617.0541814,43149.9929810,0.5669854,-0.0075466,15.0242052,-11.3501059
57.1413111,89616.5167131,43150.8441415,0.5594255,-0.0076874,14.2494980,-10.3102948
58.1302319,89615.9951405,43151.6843358,0.5486015,-0.0139345,13.5073048,-9.1629093
59.1284269,89615.4804681,43152.5396168,0.5306264,-0.0219758,12.8116726,-8.2971093
60.1372312,89614.9795126,43153.4152478,0.5047255,-0.0298072,12.1474513,-7.5860738
61.1391424,89614.5082612,43154.2994130,0.4706201,-0.0380939,11.5066461,-6.9636016
62.1402940,89614.0714109,43155.2002273,0.4279318,-0.0472843,10.8852650,-6.4154791
63.1385806,89613.6787461,43156.1180456,0.3566151,-0.0952585,10.2796051,-5.4737947
64.1385372,89613.3746060,43157.0706274,0.2416683,-0.1352983,9.7330950,-4.5187266
65.1338230,89613.2023278,43158.0508896,0.1072835,-0.1354197,9.2576623,-3.9002874
66.1179856,89613.1631275,43159.0342712,-0.0241261,-0.1273512,8.8267310,-3.7078705
67.1218901,89613.2501914,43160.0343933,-0.1448208,-0.1172078,8.3965777,-4.5420110
68.1108000,89613.4502300,43161.0028598,-0.2587939,-0.1252981,7.8375483,-3.2705711
68.9899595,89613.7274415,43161.8371710,-0.3805903,-0.1378257,7.4089314,-0.2549199
69.8572405,89614.0978021,43162.6213963,-0.5127281,-0.1742484,7.3744770,-0.2549199
70.6773845,89614.5529810,43163.3036341,-0.6459598,-0.1386175,7.3398609,0.0962443
71.5079655,89615.0898539,43163.9373787,-0.7679589,-0.1549234,7.3529493,-1.7106526
72.3481136,89615.7111515,43164.5029211,-0.9359534,-0.2496151,7.1167284,-0.2352087
73.1768014,89616.4262359,43164.9217023,-1.1564764,-0.2786321,7.0836329,-0.2352087
74.0038171,89617.2166525,43165.1650057,-1.3553874,-0.1885747,7.0503820,3.8747872
74.8852453,89618.0897794,43165.2856918,-1.4978927,-0.1548255,7.5795821,4.2681960
75.7172055,89618.9217308,43165.2895328,-1.6475405,-0.1975928,8.1227034,0.0643603
76.5398188,89619.7339636,43165.1592620,-1.7947336,-0.1405125,8.1306154,0.6607222
77.4630114,89620.6207516,43164.9025685,-1.8704393,-0.0402649,8.2114000,4.7596003
78.3510671,89621.4642186,43164.6247082,-1.9146626,-0.0520702,8.7713857,4.9393568
79.3356382,89622.3832290,43164.2714377,-1.9708025,-0.0657133,9.3170002,4.7498031
80.3403414,89623.2954782,43163.8504508,-2.0514665,-0.0959705,9.8131051,2.1921135
81.3466902,89624.1643222,43163.3426635,-2.1551696,-0.1124275,10.0337967,2.0782995
82.3330136,89624.9548739,43162.7528653,-2.2729866,-0.1255290,10.2386380,2.6569595
83.3077363,89625.6586047,43162.0784416,-2.4023179,-0.1350316,10.4946918,3.7323425
84.3050516,89626.2805918,43161.2988456,-2.5157842,-0.0953140,10.8441743,4.6302586
